roll,pitch,yaw,accX,accY,accZ
-15.36,-8.39,97.56,365.0,317.0,242.0
-14.31,-3.77,112.64,685.0,351.0,704.0
-11.85,-1.43,127.37,849.0,645.0,135.0
-8.48,-6.3,141.86,758.0,100.0,936.0
-4.3,-9.28,156.12,777.0,106.0,839.0
0.57,-9.8,-170.02,256.0,841.0,586.0
5.38,9.35,176.3,629.0,52.0,605.0
9.78,7.85,163.01,-203.0,-11.0,814.0
13.91,4.59,150.08,-782.0,-420.0,981.0
17.66,1.65,137.35,-530.0,-299.0,315.0
20.9,-1.5,-125.39,-324.0,-64.0,442.0
23.83,-5.73,-114.24,-375.0,-834.0,982.0
26.24,-9.42,-104.36,-337.0,-257.0,63.0
28.25,-12.13,-96.16,-314.0,-423.0,39.0
29.79,-15.03,-90.54,-747.0,-726.0,575.0
30.97,-17.46,-87.44,-468.0,-310.0,824.0
31.9,-18.98,-84.98,-779.0,-796.0,693.0
32.72,-20.1,-82.64,-769.0,-207.0,365.0
34.03,-21.37,-81.01,-942.0,-169.0,819.0
35.37,-21.75,-79.39,-304.0,-851.0,833.0
36.36,-21.39,-79.15,-585.0,-160.0,216.0
37.87,-21.14,-82.81,-108.0,-830.0,294.0
40.26,-20.58,-90.54,-376.0,-137.0,814.0
43.15,-18.33,-100.07,-952.0,-94.0,967.0
,,,,,
70.5,-28.91,-162.68,-90.0,133.0,325.0
38.09,-17.21,-148.69,-313.0,-555.0,686.0
34.25,-20.59,-137.59,-745.0,-708.0,242.0
30.03,-23.0,-127.48,-871.0,-710.0,934.0
25.88,-25.01,-118.3,-20.0,-34.0,901.0
22.29,-26.1,-110.35,-911.0,-154.0,76.0
19.33,-25.91,-103.42,-99.0,-995.0,399.0
17.3,-25.38,-97.54,-772.0,-851.0,597.0
16.48,-25.5,-93.0,-901.0,-633.0,735.0
16.8,-26.0,-89.9,-641.0,-163.0,586.0
17.92,-26.61,-87.9,-21.0,-412.0,23.0
19.35,-26.94,-86.7,-876.0,-561.0,432.0
20.8,-27.21,-86.25,-770.0,-856.0,143.0
22.08,-27.88,-86.39,-629.0,-184.0,170.0
23.2,-28.42,-86.64,-301.0,-455.0,423.0
24.23,-28.53,-86.8,-380.0,-677.0,828.0
25.24,-28.6,-86.87,-583.0,-738.0,240.0
26.32,-29.04,-87.08,-759.0,-578.0,607.0
27.49,-29.99,-87.68,-789.0,-277.0,141.0
28.72,-31.16,-88.57,-57.0,-36.0,475.0
30.36,-32.48,-90.34,-519.0,-634.0,958.0
32.56,-33.44,-93.27,-575.0,-27.0,480.0
35.47,-33.6,-97.35,-785.0,-209.0,650.0
39.32,-32.57,-103.17,-243.0,-522.0,731.0
43.39,-30.04,-109.9,-518.0,-113.0,652.0
46.83,-26.58,-116.79,-574.0,-432.0,950.0
49.79,-22.28,-123.81,-954.0,-139.0,304.0
,,,,,
76.53,-49.65,-135.93,-717.0,-765.0,250.0
