roll,pitch,yaw,accX,accY,accZ
25.02,56.48,78.08,-307.0,-667.0,615.0
49.93,62.11,70.04,-150.0,-349.0,465.0
64.92,60.98,64.25,-20.0,-891.0,832.0
58.73,58.35,62.95,-97.0,-142.0,468.0
38.27,50.91,65.02,-493.0,-475.0,931.0
21.83,33.05,68.02,-840.0,-970.0,788.0
20.57,29.19,70.07,-156.0,-159.0,314.0
30.07,38.1,66.69,-814.0,-384.0,436.0
49.67,46.35,58.24,-142.0,-586.0,951.0
67.69,47.86,51.29,-52.0,-673.0,519.0
63.25,46.01,51.56,-845.0,-556.0,736.0
44.56,36.46,57.44,-747.0,-672.0,297.0
34.34,24.99,66.58,-114.0,-846.0,235.0
38.89,32.08,65.87,-558.0,-81.0,637.0
56.51,41.1,54.74,-534.0,-148.0,294.0
76.58,42.5,45.02,-998.0,-137.0,34.0
75.56,40.25,43.32,-690.0,-78.0,68.0
59.22,34.96,48.78,-794.0,-166.0,530.0
44.9,24.01,60.22,-707.0,-820.0,271.0
45.54,27.25,62.25,-707.0,-104.0,506.0
58.86,34.43,50.97,-917.0,-930.0,815.0
76.23,35.89,39.76,-389.0,-99.0,146.0
79.2,33.92,36.66,-268.0,-637.0,661.0
66.28,30.05,41.9,-690.0,-310.0,7.0
,,,,,
34.8,67.7,167.81,-459.0,971.0,741.0
-8.52,0.0,169.77,108.0,945.0,999.0
7.08,2.46,160.15,151.0,617.0,420.0
4.88,4.54,150.15,675.0,774.0,656.0
1.63,8.26,139.52,413.0,469.0,676.0
2.18,13.55,128.55,927.0,241.0,638.0
5.79,19.56,116.79,438.0,256.0,19.0
9.33,25.17,104.95,-646.0,395.0,551.0
12.75,28.41,94.61,-791.0,-29.0,-687.0
15.02,26.63,87.53,-274.0,-694.0,-86.0
14.35,17.73,83.43,-697.0,-474.0,-737.0
13.33,2.43,80.23,-399.0,-448.0,910.0
12.37,-8.31,-78.05,-258.0,-683.0,83.0
14.54,-3.32,-76.75,-431.0,-64.0,51.0
20.85,11.62,68.91,-114.0,-868.0,652.0
31.43,27.38,59.55,-773.0,-654.0,420.0
44.69,37.9,51.16,-263.0,-839.0,725.0
50.11,37.71,45.73,-582.0,-672.0,-255.0
43.19,29.83,44.21,-846.0,-680.0,329.0
33.23,14.37,47.72,-481.0,-985.0,924.0
29.31,-2.4,-55.25,-138.0,-729.0,970.0
32.48,4.25,54.59,-644.0,-704.0,359.0
41.4,16.09,44.55,-72.0,-815.0,99.0
54.73,23.85,33.98,-884.0,-802.0,742.0
62.6,25.1,28.9,-292.0,-448.0,-453.0
,,,,,
80.2,11.59,16.15,-511.0,-31.0,304.0
51.26,28.95,93.25,-498.0,-306.0,-12.0
50.46,27.33,92.77,-136.0,-718.0,-26.0
49.88,25.4,91.96,-886.0,-991.0,-773.0
49.96,23.75,89.4,-180.0,-971.0,-562.0
50.2,22.03,85.73,-832.0,-96.0,-349.0
50.23,19.94,82.08,-562.0,-262.0,-238.0
50.11,17.71,78.37,-429.0,-525.0,-18.0
50.18,15.55,74.24,-271.0,-72.0,-993.0
50.53,13.69,69.56,-88.0,-559.0,-425.0
50.15,11.98,65.34,-1.0,-162.0,-407.0
47.92,8.78,64.23,-545.0,-167.0,-299.0
44.61,2.94,67.5,-185.0,-688.0,709.0
42.58,-3.43,-72.45,-751.0,-932.0,765.0
42.82,-2.89,-70.25,-246.0,-522.0,637.0
45.03,2.19,61.1,-611.0,-211.0,863.0
47.58,6.72,52.25,-336.0,-244.0,333.0
47.35,3.99,52.16,-287.0,-489.0,73.0
44.11,-7.86,-67.52,-59.0,-842.0,630.0
43.82,-20.11,-87.65,-660.0,-0.0,593.0
44.37,-16.89,-87.83,-329.0,-752.0,855.0
45.91,-5.61,-71.82,-777.0,-258.0,582.0
50.31,4.85,52.82,-214.0,-940.0,673.0
52.82,8.21,44.88,-851.0,-779.0,836.0
49.61,2.03,52.46,-183.0,-580.0,780.0
46.27,-6.75,-70.05,-354.0,-196.0,911.0
,,,,,
60.71,7.35,53.34,-491.0,-522.0,585.0
69.67,27.03,52.81,-324.0,-758.0,-208.0
67.66,22.94,52.52,-630.0,-496.0,-558.0
63.6,17.62,56.77,-136.0,-131.0,-504.0
57.48,9.23,70.26,-312.0,-789.0,644.0
52.73,-2.8,-91.78,-667.0,-65.0,32.0
52.16,-15.98,-110.34,-640.0,-1.0,564.0
53.39,-22.67,-116.46,-155.0,-202.0,165.0
52.73,-22.27,-112.83,-13.0,-334.0,598.0
50.77,-17.17,-101.37,-878.0,-244.0,475.0
50.12,-6.68,-76.49,-48.0,-374.0,699.0
55.25,2.99,49.44,-821.0,-915.0,300.0
63.86,7.89,31.26,-592.0,-708.0,218.0
