roll,pitch,yaw,accX,accY,accZ
-16.22,48.45,49.24,-2.0,-416.0,238.0
-16.41,49.58,48.71,-863.0,-259.0,219.0
-17.38,50.31,47.38,-339.0,-449.0,649.0
-18.64,49.75,45.16,-738.0,-870.0,951.0
-19.56,47.65,42.11,-924.0,-650.0,898.0
-19.53,44.4,38.46,-537.0,-12.0,399.0
-18.45,40.74,34.26,-900.0,-882.0,831.0
-16.93,36.65,29.11,-326.0,-715.0,296.0
-15.34,31.86,23.02,-730.0,-253.0,681.0
-13.93,26.53,16.45,667.0,411.0,180.0
-12.69,21.34,9.86,516.0,821.0,821.0
-11.29,16.62,3.5,577.0,951.0,489.0
-9.51,-12.52,2.44,696.0,859.0,194.0
-7.24,-9.06,7.81,79.0,783.0,67.0
-4.6,-5.93,12.42,-325.0,834.0,938.0
-1.66,-2.87,16.16,-819.0,923.0,845.0
,,,,,
3.86,-5.97,-2.92,-422.0,246.0,451.0
19.44,-6.0,-15.56,-121.0,122.0,81.0
18.67,-5.05,-15.48,-592.0,294.0,875.0
17.21,-5.26,-14.14,-202.0,895.0,684.0
15.05,-6.62,-11.45,-178.0,671.0,478.0
12.48,-9.09,-7.37,-828.0,805.0,931.0
10.06,-13.12,-2.03,-272.0,875.0,352.0
7.7,18.36,3.82,-864.0,812.0,202.0
5.1,23.31,9.05,-507.0,535.0,341.0
2.05,26.61,12.88,-240.0,152.0,450.0
1.29,26.99,14.98,-275.0,415.0,364.0
4.04,23.86,15.98,-809.0,664.0,213.0
5.5,18.37,16.81,-399.0,520.0,108.0
5.96,12.15,17.72,-706.0,-6.0,338.0
6.07,6.98,18.42,-143.0,-277.0,677.0
6.31,4.0,18.79,-109.0,-384.0,917.0
6.76,3.1,18.9,-876.0,-532.0,995.0
7.26,3.45,18.98,-208.0,-703.0,901.0
7.52,3.95,19.16,-738.0,-837.0,796.0
7.43,4.08,19.4,-945.0,-790.0,791.0
7.03,4.27,19.55,-736.0,-619.0,800.0
6.36,4.95,19.59,-488.0,-514.0,917.0
5.28,5.92,19.47,-216.0,-420.0,249.0
3.58,6.95,19.02,-359.0,-34.0,744.0
1.22,7.43,17.96,-510.0,822.0,351.0
,,,,,
36.13,-24.18,-0.11,-561.0,762.0,370.0
40.93,-24.21,-1.45,-985.0,895.0,614.0
45.64,-24.01,-2.84,-187.0,42.0,558.0
54.81,-22.21,-6.47,-859.0,133.0,934.0
58.53,-21.04,-8.12,-583.0,541.0,213.0
63.67,-17.84,-8.93,-333.0,236.0,503.0
66.53,-17.61,-9.43,750.0,36.0,81.0
71.02,-16.48,-11.3,970.0,629.0,59.0
70.77,-15.96,-14.37,899.0,219.0,707.0
69.68,-16.4,-17.08,496.0,133.0,462.0
67.25,-18.86,-22.23,362.0,177.0,180.0
66.57,-19.96,-24.23,30.0,252.0,721.0
41.39,-49.51,-84.46,-773.0,-965.0,-303.0
34.48,-46.96,-78.68,-993.0,-521.0,-591.0
28.29,-44.08,-73.46,-889.0,-682.0,-73.0
22.81,-41.66,-69.24,-195.0,-615.0,-749.0
17.39,-39.49,-65.3,-324.0,-944.0,-139.0
-0.46,-35.15,55.3,-475.0,-542.0,-985.0
-8.18,-27.67,49.99,-553.0,-124.0,-504.0
-10.03,-25.64,48.68,-255.0,-115.0,-249.0
-13.0,-27.43,47.0,-31.0,-382.0,-60.0
-14.5,-28.35,45.98,-150.0,-674.0,207.0
-15.71,-28.43,44.91,-704.0,-733.0,258.0
-16.53,-27.75,43.84,-907.0,-109.0,631.0
-16.51,-26.78,43.06,-592.0,-85.0,383.0
-15.55,-27.3,42.73,-17.0,-480.0,970.0
-11.19,-30.1,42.38,-664.0,-711.0,401.0
-4.42,-30.58,40.46,-830.0,-24.0,684.0
-0.74,-31.75,38.78,-217.0,-591.0,289.0
3.0,-35.6,-36.93,-37.0,-846.0,897.0
7.39,-40.8,-35.02,-717.0,-317.0,762.0
12.97,-47.5,-33.02,-781.0,971.0,431.0
,,,,,
124.59,178.73,104.07,-447.0,894.0,108.0
124.12,-176.11,-102.27,-695.0,670.0,645.0
128.75,153.43,63.95,-829.0,419.0,538.0
126.41,153.75,62.59,-305.0,-273.0,349.0
120.79,153.52,58.5,-179.0,173.0,238.0
117.62,153.15,56.27,-245.0,668.0,524.0
111.31,151.78,52.24,-206.0,771.0,75.0
,,,,,
99.3,-123.82,-178.66,-624.0,-801.0,705.0
124.9,-152.24,-94.96,583.0,486.0,803.0
126.17,-151.07,-93.48,367.0,699.0,451.0
126.72,-150.38,-92.85,520.0,66.0,189.0
126.22,-150.02,-93.32,358.0,271.0,6.0
124.96,-150.23,-94.19,30.0,310.0,21.0
123.21,-151.11,-95.15,24.0,301.0,141.0
120.92,-152.53,-96.69,73.0,285.0,282.0
118.2,-154.51,-99.0,994.0,290.0,381.0
115.37,-157.21,-101.68,984.0,463.0,343.0
112.39,-160.45,-105.06,80.0,709.0,352.0
109.2,-163.79,-110.5,4.0,743.0,50.0
106.13,-167.31,-118.06,528.0,946.0,587.0
103.41,-171.2,-126.31,769.0,316.0,232.0
101.03,-175.45,-133.04,843.0,813.0,916.0
98.64,-179.91,-138.51,733.0,339.0,606.0
95.84,175.62,149.04,954.0,606.0,315.0
92.72,171.34,170.39,521.0,552.0,0.0
89.45,-12.82,-163.7,-313.0,457.0,686.0
85.89,-16.74,-139.2,-331.0,223.0,448.0
81.79,-20.28,-115.66,-37.0,819.0,257.0
77.21,-23.51,-96.35,-188.0,383.0,942.0
72.64,-26.88,-85.63,-238.0,962.0,578.0
68.42,-30.56,-80.96,-692.0,472.0,211.0
64.85,-35.05,-81.31,-273.0,965.0,2.0
61.72,-39.68,-82.16,-544.0,300.0,647.0
56.42,-42.66,-76.34,-839.0,896.0,321.0
49.23,-44.38,-67.72,-300.0,-610.0,-51.0
,,,,,
24.83,10.5,14.88,-523.0,-987.0,-463.0
64.85,-15.34,-82.88,692.0,-32.0,-368.0
66.44,-17.19,-83.68,63.0,91.0,99.0
68.14,-18.91,-83.64,601.0,222.0,614.0
70.0,-20.77,-83.0,993.0,477.0,997.0
72.0,-22.79,-81.5,335.0,421.0,371.0
74.11,-24.79,-78.11,352.0,315.0,14.0
76.81,-26.69,-71.27,708.0,39.0,352.0
79.62,-27.9,-64.15,379.0,831.0,729.0
82.26,-28.66,-56.89,344.0,847.0,126.0
85.4,-29.13,-45.94,842.0,762.0,90.0
88.27,-29.12,-35.24,268.0,675.0,535.0
90.81,-151.11,-26.24,437.0,693.0,114.0
93.39,-151.76,-18.5,145.0,744.0,503.0
95.75,-152.65,-12.79,495.0,838.0,150.0
97.88,-153.69,-8.63,773.0,922.0,554.0
99.36,-154.92,-5.47,475.0,77.0,921.0
100.02,-155.71,-3.18,949.0,184.0,142.0
100.46,-156.06,-1.2,26.0,205.0,994.0
101.23,-156.52,-0.86,288.0,954.0,794.0
102.25,-157.34,-2.44,360.0,762.0,700.0
102.86,-158.32,-3.67,37.0,682.0,134.0
102.14,-159.17,-3.32,320.0,535.0,901.0
100.48,-159.76,-0.77,693.0,409.0,833.0
98.62,-160.16,-3.63,370.0,183.0,335.0
96.66,-160.15,-8.4,-845.0,-179.0,155.0
94.38,-159.54,-13.24,-901.0,-583.0,591.0
92.05,-158.48,-18.16,-108.0,-38.0,876.0
90.03,-157.36,-22.57,-519.0,-375.0,174.0
88.23,-23.9,-26.8,-298.0,-806.0,473.0
,,,,,
117.62,165.59,6.4,-453.0,-244.0,121.0
58.24,32.35,47.66,-510.0,-388.0,96.0
58.86,32.26,46.75,-880.0,-182.0,25.0
59.13,31.88,45.97,-506.0,-877.0,748.0
58.8,31.16,45.52,-677.0,-539.0,637.0
58.22,30.43,45.26,-369.0,-348.0,679.0
57.65,29.85,45.04,-223.0,-147.0,617.0
56.91,29.18,44.92,-200.0,-96.0,530.0
56.0,28.55,45.03,-124.0,-200.0,347.0
54.77,27.99,45.5,-866.0,-282.0,144.0
53.15,27.6,46.44,-475.0,-403.0,814.0
51.14,27.12,47.71,-617.0,-544.0,552.0
