roll,pitch,yaw,accX,accY,accZ
,,,,,
,,,,,
6.23,959.0,966.0,97.0
-33.01,14.37,76.4,322.0,971.0,115.0
-32.89,15.62,76.53,698.0,880.0,429.0
-32.84,18.24,75.75,227.0,123.0,519.0
-33.28,21.2,74.44,475.0,288.0,741.0
-34.59,22.87,72.46,102.0,524.0,266.0
-37.36,23.75,69.15,808.0,680.0,644.0
-41.73,24.87,64.03,430.0,310.0,228.0
-47.66,27.17,56.44,470.0,790.0,825.0
-55.25,29.68,47.31,551.0,52.0,709.0
-62.36,30.04,38.8,-251.0,-234.0,518.0
-66.57,27.96,31.77,-809.0,-803.0,870.0
-66.63,24.49,26.13,-720.0,-578.0,174.0
-63.28,21.05,22.05,-140.0,-428.0,846.0
-58.37,19.67,20.13,-102.0,-877.0,298.0
-52.91,20.85,20.21,-832.0,-146.0,750.0
-46.95,23.53,21.78,-16.0,-143.0,249.0
-40.07,25.97,24.09,-857.0,-373.0,744.0
-32.52,26.51,25.85,-846.0,-805.0,201.0
-25.19,25.81,26.63,-17.0,-494.0,710.0
-18.87,24.78,26.12,369.0,893.0,345.0
-13.67,24.55,24.52,410.0,592.0,142.0
-8.74,24.81,22.07,443.0,471.0,32.0
-2.7,22.86,17.82,481.0,378.0,842.0
4.47,-19.3,-12.02,517.0,935.0,675.0
,,,,,
4.02,9.7,13.57,-315.0,-451.0,332.0
-53.74,-3.05,173.97,645.0,539.0,712.0
55.82,2.78,176.46,827.0,587.0,299.0
56.12,8.41,166.92,-991.0,-386.0,697.0
54.53,13.65,157.75,-432.0,-309.0,897.0
51.11,16.34,149.62,-590.0,-863.0,104.0
45.48,14.15,142.84,-216.0,-614.0,678.0
38.57,7.28,137.14,-981.0,-450.0,976.0
-32.39,1.17,133.61,-489.0,-170.0,447.0
-26.98,11.26,132.31,-795.0,-147.0,214.0
-21.5,20.3,132.61,-255.0,-87.0,231.0
-15.79,24.69,135.03,-287.0,-226.0,220.0
-9.55,25.46,138.44,943.0,316.0,88.0
-3.18,25.7,141.2,255.0,954.0,13.0
2.39,-25.14,-143.15,284.0,592.0,973.0
7.26,-23.65,-144.51,91.0,88.0,940.0
11.62,-22.54,-145.29,414.0,418.0,972.0
15.48,-20.76,-145.74,212.0,519.0,0.0
18.77,-17.62,-145.61,862.0,336.0,990.0
18.17,-11.66,-144.0,830.0,100.0,242.0
15.41,-11.6,-143.47,759.0,480.0,20.0
14.47,-11.93,-144.32,113.0,355.0,977.0
12.96,-10.97,-145.79,-3.0,-88.0,290.0
,,,,,
61.13,45.35,175.56,-185.0,-650.0,304.0
-36.96,-8.88,80.34,-644.0,268.0,295.0
-36.88,-9.04,79.82,-292.0,661.0,585.0
-38.93,-9.94,81.01,501.0,772.0,435.0
-44.03,-10.29,85.1,97.0,180.0,854.0
-51.16,-10.09,92.17,330.0,359.0,197.0
-59.28,-10.24,107.41,796.0,922.0,231.0
-67.67,-10.08,134.89,188.0,628.0,559.0
-74.34,-6.5,158.99,378.0,38.0,642.0
-76.01,-0.29,173.86,-444.0,-206.0,704.0
72.34,7.23,174.98,-688.0,-728.0,786.0
65.33,11.64,165.25,-605.0,-627.0,585.0
