roll,pitch,yaw,accX,accY,accZ
14.91,-7.87,-63.5,-669.0,-592.0,857.0
13.99,-9.14,-64.44,-949.0,-72.0,976.0
12.73,-10.6,-66.29,-396.0,-488.0,314.0
11.01,-12.02,-68.95,-227.0,-13.0,590.0
8.72,-13.13,-72.65,-662.0,-476.0,713.0
5.95,-13.09,-77.33,-312.0,-783.0,994.0
2.89,-12.55,-82.6,-372.0,-16.0,217.0
-0.6,-12.24,88.43,-180.0,-502.0,307.0
-4.48,-11.48,94.73,-402.0,-93.0,352.0
-8.7,-10.04,101.27,-676.0,-491.0,399.0
-13.19,-8.17,107.86,-155.0,-759.0,485.0
-17.63,-5.34,114.4,-356.0,-929.0,609.0
-21.81,-1.42,121.09,-760.0,-876.0,779.0
-25.67,-3.22,128.2,-639.0,-678.0,12.0
-28.71,-8.78,135.87,-882.0,-243.0,282.0
-30.73,-15.08,143.28,-966.0,-237.0,585.0
-32.4,-21.13,150.14,-642.0,-21.0,932.0
-33.44,-26.62,156.89,-945.0,-939.0,273.0
,,,,,
29.0,32.49,149.43,-267.0,417.0,207.0
26.46,-1.87,-72.42,-742.0,-600.0,875.0
25.16,-3.06,-71.93,-911.0,-808.0,178.0
23.82,-3.85,-71.66,-127.0,-73.0,703.0
22.33,-3.97,-71.76,-770.0,-283.0,252.0
20.41,-4.64,-72.13,-220.0,-419.0,501.0
18.06,-6.83,-72.61,-857.0,-915.0,559.0
15.61,-9.07,-73.78,-328.0,-664.0,556.0
12.95,-9.92,-76.05,-98.0,-183.0,494.0
10.27,-10.19,-79.11,-655.0,-739.0,386.0
7.64,-10.71,-82.75,-350.0,-248.0,381.0
4.84,-11.23,-86.89,-596.0,-735.0,367.0
1.78,-10.94,-91.47,-835.0,-199.0,340.0
-1.62,-10.04,96.38,-615.0,-576.0,318.0
-5.71,-9.35,101.64,-527.0,-154.0,339.0
-10.36,-8.49,107.27,-814.0,-624.0,414.0
-15.13,-6.5,113.04,-202.0,-947.0,526.0
-19.67,-3.47,119.23,-696.0,-159.0,683.0
-23.73,-0.74,126.17,-846.0,-4.0,885.0
-27.06,-6.02,133.42,-230.0,-410.0,128.0
-29.63,-11.74,140.62,-18.0,-545.0,412.0
-31.34,-17.65,147.8,-359.0,-511.0,717.0
-32.37,-23.4,154.86,-420.0,-175.0,34.0
,,,,,
34.6,38.19,142.23,855.0,25.0,170.0
34.26,-6.02,-73.73,-668.0,-2.0,684.0
32.9,-7.85,-73.09,-489.0,-424.0,938.0
31.25,-9.72,-73.29,-557.0,-673.0,166.0
29.25,-11.25,-74.16,-163.0,-32.0,219.0
26.93,-12.56,-76.26,-863.0,-440.0,339.0
24.16,-13.38,-79.43,-526.0,-757.0,320.0
21.06,-13.8,-83.39,-90.0,-196.0,167.0
17.77,-14.14,-87.89,-862.0,-649.0,297.0
14.32,-14.89,-92.54,-199.0,-174.0,493.0
10.68,-15.75,-97.35,-281.0,-680.0,548.0
6.96,-16.23,-102.26,-216.0,-971.0,542.0
2.94,-16.61,-107.14,-543.0,-166.0,530.0
-1.55,-17.33,111.96,-944.0,-564.0,561.0
-6.3,-17.64,116.79,-893.0,-852.0,622.0
-11.1,-17.01,121.69,-260.0,-111.0,696.0
-15.93,-15.8,126.94,-527.0,-215.0,803.0
-20.41,-12.88,132.69,-782.0,-304.0,899.0
-24.06,-8.58,138.68,-790.0,-40.0,988.0
-27.19,-3.86,145.1,-326.0,-388.0,113.0
-29.83,-1.43,151.63,-681.0,-799.0,279.0
-31.81,-7.02,157.9,-235.0,-962.0,474.0
-33.33,-12.21,164.02,-519.0,-927.0,694.0
,,,,,
30.01,35.66,141.59,542.0,660.0,429.0
25.2,-9.53,-88.52,-761.0,-430.0,233.0
23.73,-11.16,-88.92,-316.0,-772.0,220.0
22.04,-12.55,-89.68,-821.0,-24.0,452.0
20.07,-14.58,-90.99,-952.0,-529.0,471.0
17.92,-15.65,-93.13,-347.0,-940.0,331.0
15.73,-15.36,-95.95,-888.0,-250.0,398.0
13.48,-14.9,-99.1,-55.0,-395.0,619.0
11.15,-14.68,-102.4,-452.0,-611.0,936.0
8.74,-14.49,-105.77,-58.0,-791.0,185.0
6.05,-14.31,-109.34,-621.0,-3.0,346.0
2.96,-14.36,-113.13,-947.0,-196.0,401.0
-0.5,-14.28,117.03,-164.0,-395.0,423.0
-4.14,-13.95,120.96,-589.0,-647.0,445.0
-7.96,-13.29,125.0,-8.0,-871.0,483.0
-12.05,-12.34,129.28,-404.0,-0.0,556.0
-16.22,-10.98,133.77,-852.0,-97.0,661.0
-20.21,-9.0,138.53,-171.0,-93.0,790.0
-23.92,-6.25,143.58,-716.0,-916.0,940.0
-27.34,-2.93,149.01,-283.0,-556.0,116.0
-30.34,-1.33,154.73,-914.0,-109.0,315.0
,,,,,
36.47,37.47,140.09,-951.0,578.0,167.0
23.79,-8.98,-113.1,-658.0,-349.0,413.0
22.34,-5.76,-112.51,-391.0,-432.0,702.0
20.44,-1.9,-112.06,-977.0,-745.0,896.0
18.23,-2.0,-112.12,-559.0,-154.0,100.0
15.77,-6.02,-112.4,-279.0,-670.0,314.0
13.14,-9.99,-113.28,-114.0,-212.0,266.0
10.54,-12.98,-115.02,-447.0,-597.0,427.0
7.62,-15.2,-117.04,-488.0,-769.0,505.0
4.17,-17.31,-119.33,-28.0,-303.0,566.0
0.36,-19.37,-122.26,-193.0,-800.0,648.0
-3.99,-20.9,125.23,-157.0,-953.0,746.0
-8.81,-21.97,128.22,-278.0,-595.0,875.0
-13.85,-22.22,131.9,-442.0,-214.0,20.0
-18.89,-21.25,136.01,-761.0,-444.0,160.0
-24.03,-19.84,140.31,-634.0,-680.0,346.0
-28.99,-17.3,145.34,-36.0,-32.0,543.0
-33.18,-12.7,150.93,-554.0,-20.0,694.0
-37.13,-7.8,156.44,-4.0,-641.0,913.0
-41.11,-2.7,162.62,-927.0,-748.0,218.0
,,,,,
44.85,42.84,133.76,-775.0,646.0,834.0
26.58,-6.36,-107.82,-74.0,-233.0,893.0
25.96,-7.92,-106.7,-255.0,-441.0,931.0
25.37,-9.37,-106.11,-646.0,-614.0,889.0
24.66,-10.48,-105.84,-777.0,-641.0,924.0
23.96,-11.5,-105.53,-874.0,-730.0,45.0
23.1,-12.68,-105.37,-5.0,-748.0,202.0
22.05,-14.31,-104.76,-570.0,-821.0,426.0
20.87,-16.65,-104.3,-674.0,-114.0,672.0
19.34,-18.93,-104.26,-815.0,-359.0,827.0
17.45,-20.87,-104.72,-438.0,-723.0,88.0
15.05,-23.1,-105.74,-167.0,-76.0,79.0
12.52,-24.98,-107.43,-166.0,-367.0,54.0
10.04,-26.36,-109.5,-946.0,-403.0,135.0
7.52,-27.62,-111.75,-94.0,-633.0,113.0
4.59,-27.58,-114.93,-962.0,-154.0,289.0
1.68,-26.33,-118.68,-367.0,-612.0,654.0
-1.24,-24.52,122.74,-570.0,-137.0,777.0
-4.32,-22.32,127.34,-25.0,-602.0,766.0
-7.53,-19.48,132.26,-967.0,-982.0,703.0
-10.75,-16.38,137.35,-779.0,-218.0,652.0
-14.15,-12.61,142.92,-358.0,-262.0,628.0
-17.59,-7.75,148.78,-348.0,-125.0,644.0
-21.09,-2.48,154.72,-781.0,-6.0,746.0
,,,,,
